"Category","Question","Answer"
"Company Info","What is Black Barrel Wood Co.'s contact information?","Black Barrel Wood Co.\n2275 Taylorwoods Blvd, Innisfil, ON\nPhone: (416) 566-3854\nEmail: blackbarrelwoodco@gmail.com\nHours: Monday–Friday, 9am–5pm EST"
"Company Info","What is the purpose of the Custom Order Form?","It is a detailed questionnaire and process guide that makes ordering one-of-a-kind solid hardwood furniture less daunting, especially for first-time customers. It walks you through every decision, sets realistic expectations, and ensures clear communication so the final piece perfectly matches your needs."
"Rules of Thumb","What are the most important rules of thumb when ordering custom furniture from Black Barrel Wood Co.?","1. Needs vs Wants: Identify non-negotiable needs (e.g., exact dimensions, must-have drawers, specific wood) versus flexible wants (e.g., drawer pulls, secondary wood).\n2. Pictures are your best friend: Send as many reference photos as possible — legs from one image, colour from another, hardware from a third.\n3. Defer if unsure: Ask for recommendations; the team has tried almost everything and will guide you.\n4. Price: Discuss a real budget range early — custom work uses premium materials and craftsmanship and is neither fast, easy, nor cheap, but it’s worth it for a true 1-of-1 piece.\n5. Timelines: Take your time in the design phase; changes later are more time-consuming, expensive, and frustrating."
"Process","What is the step-by-step process for commissioning a custom piece?","1. Initial discussion to outline budget, timeline, needs, and wants; you receive and complete the questionnaire.\n2. The team creates a basic design mock-up with measurements, proportions, and visuals.\n3. You review and provide one round of changes (free if it leads to an order); updated design sent back for review and sign-off.\n4. Once approved, pay 50% deposit and building begins with periodic progress photos.\n5. Near completion, pickup or delivery is arranged."
"Process","What if I want more than one round of design changes?","The first round of changes is free (if it leads to an order). Additional rounds after the first cost $150 per round (this fee is credited toward the final cost if you proceed). Changes after final sign-off are more expensive and will delay the project, so it’s best to get it right during the design phase."
"Renderings","Will I see renderings of my piece before building starts?","Yes. As a free courtesy you receive basic 3D renderings showing the final look, measurements, and proportions — one preliminary after submitting the questionnaire, and a second after your first round of changes (if needed). These help you visualize the piece. High-resolution photorealistic renderings are available for an extra fee."
"Styles","What furniture styles can Black Barrel Wood Co. build?","They can build almost any style, including Mid-century, Modern Rustic, Farmhouse, Traditional, Transitional, and styles that are difficult to classify. Send reference images of pieces you like — the more photos, the better."
"Styles","How do I choose a style if I'm not sure?","Send reference photos of pieces you like, even if they mix different styles. The team will help synthesize a cohesive look that fits your space and needs."
"Wood Species","Which wood species does Black Barrel Wood Co. use and recommend?","They primarily use seven locally sourced domestic hardwoods. Foreign/exotic species are possible but usually more costly and sometimes unavailable. Breakdown (price level $ to $$$$):\n• Poplar (Light/medium, low density, $) — Straight-grained, great inexpensive secondary wood for drawers, shelves, supports; can be primary too.\n• Red Oak (Medium, high density, $) — Extremely strong, great value, open-grained (grain visible and textured even when painted).\n• Ash (Light, high density, $$) — Very hard, light-coloured with grain variation, more closed grain than oak.\n• Cherry (Medium, medium density, $$$) — Orange to light tan, closed-grain, sands extremely smooth, beautiful grain variation.\n• Maple (Very light, very high density, $$$) — Bright white, extremely heavy and dense, sands smooth; great for contrast. Soft maple also available (softer, sometimes streaked).\n• Walnut (Dark, medium density, $$$$) — Highly desirable for high-end work, machines beautifully.\n• White Oak (Medium/light, very high density, $$$$) — Extremely hard, gorgeous and durable; currently very difficult to source."
"Wood Species","How do I choose the right wood species?","Discuss your priorities (colour, durability, budget, grain visibility) with the team. They will recommend the best match based on your needs."
"Edge Profiles","What are edge profiles and why do they matter?","The two primary options are round-overs and chamfers. They soften sharp hardwood edges, improve safety and feel, and help prevent dings or splintering. Specified by radius (¼ circle or 45° corner when viewed edge-on). You can choose any radius that fits your design."
"Finishes","What finishes does Black Barrel Wood Co. normally use?","Default recommendations (unless you request otherwise):\n• Osmo Poly-X hard wax oil — Clear top coat; buildable sheen from matte to semi-gloss; versatile and reliable.\n• Rubio Monocoat — Colour-infused, matte-satin finish; excellent protection.\n\nOther finishes (e.g., polyurethane, polycrylic, mineral oil + beeswax for food-safe items) are possible but may offer less durability or add cost. Always discuss your intended use so they can recommend the best protection."
"Hardware","What should I consider when choosing hardware (pulls, slides, hinges, legs)?","Decide on: Action (push-to-open, soft-close, full-extension, etc.), Finish (stainless, brushed nickel, black, copper, etc.), and Style (modern, traditional, transitional, farmhouse, etc.). Price varies widely."
